"title","year","genre","duration","metacritic","rating","votes","worldwide_gross_income","user_review","critics_review"
"Planet of the Apes",1968,"Adventure",112,NA,8,128148,32.599045,447,152
"The Producers",1967,"Comedy",88,97,7.7,37184,0.375143,264,97
"Rosemary's Baby",1968,"Drama",137,NA,8,129682,NA,563,259
"Butch Cassidy and the Sundance Kid",1969,"Biography",110,58,8.1,136191,102.310639,430,107
"Once Upon a Time in the West",1968,"Western",165,80,8.6,195109,0.112911,707,151
"Easy Rider",1969,"Drama",95,86,7.4,69743,0.123276,426,134
"The Italian Job",1969,"Action",99,NA,7.4,28616,0.113867,191,50
"Midnight Cowboy",1969,"Drama",113,NA,7.9,70810,44.801177,393,123
"On Her Majesty's Secret Service",1969,"Action",142,NA,6.8,53013,22.787885,512,121
"True Grit",1969,"Adventure",128,NA,7.4,30753,0.276418,189,80
"Where Eagles Dare",1968,"Action",158,NA,7.7,37698,7.1,275,57
"The Wild Bunch",1969,"Action",145,NA,8.1,59133,0.638641,328,126
"The AristoCats",1970,"Animation",78,NA,7.1,55173,35.459543,141,113
"Beneath the Planet of the Apes",1970,"Action",95,NA,6.1,30020,18.999718,182,73
"Kelly's Heroes",1970,"Adventure",144,NA,7.7,32219,5.2,211,47
"Little Big Man",1970,"Comedy",139,63,7.7,25181,31.559552,126,61
"MASH",1970,"Comedy",116,79,7.7,52071,81.6,257,128
"Patton",1970,"Biography",172,91,8,71912,61.749765,292,126
"THX 1138",1971,"Drama",86,75,6.8,36591,2.437,232,83
"Bananas",1971,"Comedy",82,NA,7.1,25673,0.1362,112,53
"A Clockwork Orange",1971,"Crime",136,78,8.4,495745,26.90344,1569,184
"Diamonds Are Forever",1971,"Action",120,NA,6.7,67334,43.819547,319,109
"Dirty Harry",1971,"Action",102,NA,7.8,107325,35.976,362,142
"Duel",1971,"Thriller",NA,NA,7.7,42713,NA,NA,NA
"Fiddler on the Roof",1971,"Drama",181,NA,8,27906,10.40433,170,74
"The French Connection",1971,"Action",104,96,7.8,74326,51.7,328,165
"Harold and Maude",1971,"Comedy",91,NA,8,52274,NA,342,94
